Solomon Islands,242.44,218.96,186.21,151.33,121.32,99.61,69.86,57.79,52.21,45.11,41.63,40.48,36.18,28.83
Somalia,267.19,255.95,244.87,238.38,235.44,249.73,221.43,218.85,199.75,187.88,167.98,145.02,145.13,110.4
South Africa,165.15,162.26,154.05,144.21,134.04,124.61,116.39,102.63,84.09,75.11,81.9,82.22,58.07,35.87
South Asia,288.42,256.66,253.21,248.35,209.28,187.02,158.87,134.97,112.8,95.54,82.13,70.43,58.77,43.08
South Korea,189.02,129.35,96.3,76.04,55.68,35.24,20.24,14.01,9.24,6.94,6.97,5.81,4.39,3.54
South Sudan,271.96,264.26,258.1,252.29,245.38,237.38,231.92,227.04,210.22,180.9,152.77,133.16,124.07,111.26
Southeast Asia,273.99,244.51,213.52,186.34,161.57,138.75,115.96,98.01,80.1,65.05,53.94,44.31,35.79,26.89
Southern Latin America,119.55,105.44,110.8,91.93,81.3,61.65,42.64,31.71,28.79,23.91,18.98,15.56,14,11
Southern Sub-Saharan Africa,162.14,157.87,149.78,139.97,129.35,119.49,111.22,95.97,81.27,76.84,82.77,84.77,65.8,43.87
Spain,101.13,77.22,56.53,46.14,35.06,23.96,16.05,11.82,10.16,7.49,5.92,5.14,4.17,3.47
Sri Lanka,157.56,131.54,97.35,82.07,69.35,67.82,49.24,35.45,30.05,21.46,17.45,19.77,13.25,9.29
Sub-Saharan Africa,311.48,294.25,277.42,259.68,245.74,227.66,209.15,194.8,182.26,171.24,155.49,132.42,110.05,84.07
Sudan,249.9,242.58,228.37,223.96,215.68,207.12,189.58,219.42,147.34,125.39,104.49,86.37,72.21,52.66
Suriname,119.09,108.55,101.33,92.09,83.01,78.64,69.94,61.07,55.32,50.33,46.81,43.09,37.48,31.56
Swaziland,271.24,252.33,236.11,202.54,171.52,144.22,121.96,99.43,77.41,80.1,100.58,108.47,91.46,49.92
Sweden,28.54,24.11,22.35,17.91,14.72,11.33,8.89,7.98,7.67,5.04,4.36,3.65,3.36,3.03
Switzerland,42.58,36.84,29.81,24.84,20.81,15.37,12.07,9.86,9.43,6.87,6.47,5.49,4.71,4.04
Syria,203.32,175.87,143.01,121.64,102.02,85.68,63.54,51.58,47.6,35.76,22.68,14.59,14.15,18.76
Taiwan,98.24,83.91,59.43,39.71,27.52,20.6,16.01,11.22,9.07,9.39,8.41,6.77,5.37,5.06
Tajikistan,317.66,285.54,244.76,203.45,162.3,140.59,119.64,108.18,94.58,87.43,78.15,63.17,56.39,52.39
Tanzania,279.81,265.55,254.25,237.83,215.98,197.98,182.21,171.69,160.55,149.49,127.69,101.77,84.82,65.16
Thailand,213.9,187.96,160.74,127.36,102.37,80.69,61.62,45.42,31.81,23.95,19,15.04,10.81,9.55
Timor,355.11,336.21,311.42,281,252.71,235.58,208.58,162.54,131.2,106.5,85.66,66.51,47.72,39.07
Togo,350.84,330.85,307.8,277.23,238.74,207.07,180.98,164.77,152.83,144,131.84,118.33,101.69,72.99
Tonga,83.41,70.1,57.38,49.3,44.59,41.04,37.71,31.63,27.49,26.12,24.92,23.92,23.23,19.65
Trinidad and Tobago,117.1,94.05,78.34,62.8,56.47,49.78,38.2,29.71,26.2,26.65,28.81,23.73,19.88,18.64
Tropical Latin America,282.14,253.71,226.36,202.5,180.63,151.5,123.5,97.98,75.65,58.42,45.14,35.33,27.08,19.97
Tunisia,342.7,305.8,258.33,209.24,166.44,121.28,88.32,67.58,52.51,40.63,29.94,22.4,18.73,11.72
Turkey,377.25,327.96,293.66,243,205,168.16,132.8,98.57,74.35,58.9,43.14,30.5,22.21,15.21
Turkmenistan,216.71,190.76,161.45,133.76,110.06,104.96,97.9,89.59,77.33,71.03,62.74,51.33,43.69,32.89
Uganda,265.98,258.8,248.62,235.6,221.04,213.19,215.68,198.84,184.45,169.26,149.87,121.29,95,66.57
Ukraine,76.88,67.76,56.46,43.27,37.85,36.46,33.21,26.93,23.07,20.91,16.82,13.62,11.94,10.55
United Arab Emirates,243.21,217.73,184.51,143.17,108.19,76.77,49.91,30.44,19.86,12.73,11.52,11.71,10.68,7.75
United Kingdom,35.1,32.73,29.46,25.78,23.79,20.04,15.83,12.8,10.73,8.03,7.27,6.59,5.64,4.93
United States,37.81,34.37,33.83,30.84,26.56,20.74,16.84,14.09,12.24,9.88,9.19,9.03,7.85,7.37
United States Virgin Islands,80.03,66.93,53.68,42.05,35.73,31.7,29.72,24.95,19.79,16.21,13.17,10.94,10.12,9.87
Uruguay,77.29,62.48,62.59,65.14,62.35,60.75,45.09,36.33,26.09,24.95,18.47,16.38,13.14,10.31
Uzbekistan,162.73,142.83,122.82,104.1,88.48,82.52,74.54,67.18,57.9,56.77,49.93,42.89,35.44,26.73
Vanuatu,151,137.64,123.11,104.36,85.97,66.75,51.32,43.01,38.79,36.34,37.13,38.99,36.36,32.5
Venezuela,124.21,112.43,79.12,71.24,72.57,63.87,44.4,36.86,36.12,33.23,24.84,19.82,19.91,17.12
Vietnam,204.53,177.16,152.63,132.49,119.76,95.83,77.98,65.98,54.45,42.02,31.35,24.99,20.99,15.2
Western Europe,67.97,54.49,43.84,34.55,28.94,22.65,16.56,12.6,10.34,7.58,6.33,5.36,4.66,4.04
Western Sub-Saharan Africa,349.03,333.98,314.9,293.76,282.9,257.51,231.78,213.92,200.96,190.45,176.12,153.19,129.11,102.38
World,224.45,203.49,307.11,172.13,151.32,134.17,116.56,101.82,87.84,80.88,73.48,63.52,53.48,40.6
Yemen,463.74,445.14,402.92,365.6,320.92,256.79,199.77,158.12,129.9,109.17,89.53,70.36,57.24,46.98
Zambia,267.15,250.86,236.72,217.62,189.95,170.06,165.12,169.78,176.15,170.69,152.65,126.62,93.59,70.48
Zimbabwe,142.91,138.05,131.11,122.44,112.76,106.38,102.21,82.65,75.42,81.29,83.52,90.23,84.91,60.91
